14:55:44 [0][Info] 	- AvatarFlow >> Avatar Core Version: 1.13.1
14:55:44 [0][Info] 	- AvatarFlow >> Build Date Time: Jun  9 2022  18:24:32
14:55:44 [1][Alert] 	- AvatarFlowManager >> Init(../)
14:55:44 [1][Info] 	- AvatarFlow >> OS: MacOS Version: Darwin - 21.6.0 - Darwin Kernel Version 21.6.0: Mon Aug 22 20:20:05 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T8101
14:55:44 [1][Error] 	- JSONUtils >> Failed to parse json string: [] with exception: [json.exception.parse_error.101] parse error at line 1, column 1: syntax error while parsing value - unexpected end of input; expected '[', '{', or a literal
14:55:44 [1][Info] 	- ServiceCoordinator >> CreateCoordinator()
14:55:44 [1][Info] 	- ServiceCoordinator >> Create() - Created at port: 40933
14:55:44 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - avatarcore_services
14:55:44 [1][Info] 	- ServiceCoordinator >>  Openning port: 40933
14:55:45 [1][Info] 	- AvatarFlow >> AvatarFlow Initialized successfully
14:55:45 [0][Info] 	- AvatarFlowManager >> ARTC SDK Version: 2.1.3
14:55:45 [1][Info] 	- AvatarFlowManager >> Inited
14:55:45 [1][Warning] 	- Python >> Python::CoreAPIWrapper::SubscribeToMessage [Application: service/status/reply] Already subscribed!
14:55:45 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [CloudProxy] was loaded as alias [Robot/cloud]
14:55:45 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [RTPReceiver] was loaded as alias [Robot/receiver/data/user/user1]
14:55:45 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [RTPSender] was loaded as alias [Robot/sender/data/feedback/user]
14:55:45 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [RTPSender] was loaded as alias [User/sender/video/micro]
14:55:45 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [VideoCapture] was loaded as alias [Capture/video/micro]
14:55:45 [0][Notice] 	- Services >> Starting Service [RTPSender]: User/sender/video/micro
14:55:45 [1][Notice] 	- RTP >> Linked with ports: RobotCamera
	RTP: 10701
	RTCP Send: 9000
	RTCP Recv: 9010
14:55:45 [1][Debug] 	- IBaseVideoEncoderController >> Fetching encoder named: vs0_enc
14:55:45 [1][Notice] 	- GstPipelineHandler >> [User/sender/video/micro]::Play()
14:55:45 [0][Notice] 	- Services >> Starting Service [VideoCaptureService]: Capture/video/micro
