21:48:11 [0][Info] 	- AvatarFlow >> Avatar Core Version: 1.13.1
21:48:11 [0][Info] 	- AvatarFlow >> Build Date Time: Jun  9 2022  18:24:32
21:48:11 [1][Alert] 	- AvatarFlowManager >> Init(../)
21:48:11 [1][Info] 	- AvatarFlow >> OS: MacOS Version: Darwin - 21.6.0 - Darwin Kernel Version 21.6.0: Mon Aug 22 20:20:05 PDT 2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T8101
21:48:11 [1][Error] 	- JSONUtils >> Failed to parse json string: [] with exception: [json.exception.parse_error.101] parse error at line 1, column 1: syntax error while parsing value - unexpected end of input; expected '[', '{', or a literal
21:48:11 [1][Info] 	- ServiceCoordinator >> CreateCoordinator()
21:48:11 [1][Info] 	- ServiceCoordinator >> Create() - Created at port: 40933
21:48:11 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - avatarcore_services
21:48:11 [1][Info] 	- ServiceCoordinator >>  Openning port: 40933
21:48:12 [1][Info] 	- AvatarFlow >> AvatarFlow Initialized successfully
21:48:12 [0][Info] 	- AvatarFlowManager >> ARTC SDK Version: 2.1.3
21:48:12 [1][Info] 	- AvatarFlowManager >> Inited
21:48:12 [1][Warning] 	- Python >> Python::CoreAPIWrapper::SubscribeToMessage [Application: service/status/reply] Already subscribed!
21:48:12 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [CloudProxy] was loaded as alias [User/cloud]
21:48:12 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [RTPSender] was loaded as alias [User/sender/data/user/user1]
21:48:12 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [RTPReceiver] was loaded as alias [User/receiver/data/feedback/user]
21:48:12 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [RTPReceiver] was loaded as alias [User/receiver/video/robot]
21:48:12 [1][Notice] 	- Services >> ServiceManager::LoadServices() - Service name [VideoFormat] was loaded as alias [User/video/robot/robot/RGB]
21:48:12 [0][Notice] 	- Services >> Starting Service [CloudProxyService]: User/cloud
21:48:12 [0][Notice] 	- Services >> Starting Service [VideoFormatService]: User/video/robot/robot/RGB
21:48:12 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - robot-camera
21:48:12 [1][Notice] 	- GstPipelineHandler >> [User/video/robot/robot/RGB]::Play()
21:48:12 [1][Warning] 	- Python >> Python::CoreAPIWrapper::SubscribeToMessage [avatarin: cloud/status] Already subscribed!
21:48:12 [1][Debug] 	- Services >> CloudProxyService::SendHello() - Adding a request for hello: 214387
21:48:12 [1][Info] 	- AvatarFlowManager >> RequestStartService(User/.*)
21:48:12 [1][Info] 	- Services >> Setting resource fetch rate ms: 1
21:48:12 [1][Debug] 	- Services >> CloudProxyService - Processing hello request: 214387
21:48:12 [0][Notice] 	- Services >> Starting Service [RTPReceiver]: User/receiver/data/feedback/user
21:48:12 [1][Info] 	- SharedMemory >> SharedMemoryDataWriter::Open(feedback-to-user, remote) - Starting
21:48:12 [1][Notice] 	- SharedMemory >> SharedMemoryManager::CreateSharedMemory - feedback-to-user
21:48:12 [1][Notice] 	- RTP >> Linked with ports: Data
	RTP: 10601
	RTCP Send: 9000
	RTCP Recv: 9010
